"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\crear\components\TablaEstufiante.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\crear\main.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\dashboard\main.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\components\cardInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\components\formRegistro.jsx", "JavaScript JSX", 0, 0, 266, 0, 0, 0, 0, 0, 4, 28, 298
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\docentes\main.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\home\main.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\home\prueba.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\Rol\Docente\perfil\main.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\authentication\sign-in\main.jsx", "JavaScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 8, 12, 124
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\layouts\authentication\sign-in\sign.css", "CSS", 0, 0, 0, 140, 0, 0, 0, 0, 0, 23, 163
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\main.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\src\routes.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\andre\OneDrive\Documents\Entrega Final\Frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\andre\OneDrive\Documents\Entrega Final\theme (1).json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"Total", "-", 7371, 1361, 1121, 237, 2, 5, 3114, 6, 278, 626, 14121
